geracao,min,max,mean,std,num_profs,num_discs,tempo_decorrido_s
0,0.9,1.9,0.9357142857142858,0.18557687223952254,28,47,0.014012575149536133
1,0.81,2.71,0.8778571428571432,0.2764988954160664,28,47,0.026743412017822266
2,0.7290000000000001,3.439,0.8257857142857146,0.34568014052409385,28,47,0.04841160774230957
3,0.6561000000000001,3.3451,0.7521357142857145,0.3318665611024787,28,47,0.06010150909423828
4,0.5904900000000002,3.1772566666666666,0.6828745238095238,0.31157638135976223,28,47,0.07143425941467285
5,0.5314410000000002,3.0261976666666666,0.6205394523809524,0.29319404260035725,28,47,0.08240485191345215
6,0.47829690000000014,2.9235779,0.5656283642857144,0.28066925704076606,28,47,0.09388399124145508
7,0.43046721000000016,2.88122011,0.5179940992857144,0.27277940014746205,28,47,0.10683083534240723
8,0.38742048900000015,2.7042092101111113,0.47016294332539693,0.2556234113981582,28,47,0.1183316707611084
9,0.34867844010000015,2.5448994002111114,0.4271149029611113,0.23973231505309417,28,47,0.1304628849029541
10,0.31381059609000017,2.4015205713011114,0.3883716666332542,0.22447611812062007,28,47,0.14216852188110352
11,0.28242953648100017,2.494701847504334,0.36143926187469066,0.23839974507990913,28,47,0.1522960662841797
12,0.25418658283290013,2.3702316627539006,0.3297596214015072,0.22540376429507894,28,47,0.16378068923950195
13,0.22876792454961012,2.2582084964785105,0.3012479449756423,0.21175697165373183,28,47,0.17999625205993652
14,0.2058911320946491,2.5323876468306596,0.2889802933352209,0.2474407833711701,28,47,0.19160032272338867
15,0.1853020188851842,2.529148882147594,0.2690108354302702,0.24652937888859663,28,47,0.20636630058288574
16,0.16677181699666577,2.476233993932835,0.2492526090301003,0.24220867298473453,28,47,0.2182176113128662
17,0.1500946352969992,2.4286105945395517,0.23147020526994747,0.2353150222379915,28,47,0.2301342487335205
18,0.13508517176729928,2.51908286841893,0.22022794664771458,0.25078484002995594,28,47,0.2418980598449707
19,0.12157665459056936,2.517174581577037,0.20713372341151462,0.25060897339867017,28,47,0.2535667419433594
20,0.10941898913151243,2.598790456752667,0.19832511297512506,0.2635625571927405,28,47,0.2663004398345947
21,0.0984770902183612,2.4639114110774005,0.18295688739189825,0.24985005692357634,28,47,0.2781224250793457
22,0.08862938119652508,2.7175202699696603,0.18251834150985133,0.28484556341815825,28,47,0.2917475700378418
23,0.07976644307687257,2.6957682429726946,0.17319507878743762,0.28010479077962197,28,47,0.3038315773010254
24,0.07178979876918531,3.426191418675425,0.1915898566229796,0.3855722433065555,28,47,0.31828737258911133
25,0.06461081889226679,3.5835722768078826,0.1902880138178245,0.4039906767990566,28,47,0.3298213481903076
26,0.05814973700304011,3.7252150491270943,0.1891163552931849,0.4261830973730972,28,47,0.3419020175933838
27,0.0523347633027361,3.852693544214385,0.18806186262100927,0.4457320914806165,28,47,0.35348010063171387
28,0.04710128697246249,3.9674241897929465,0.1871128192160512,0.46232140508334724,28,47,0.36569714546203613
29,0.042391158275216244,4.070681770813652,0.18625868015158897,0.4722368667771454,28,47,0.37752223014831543
