execucao,melhor_qualidade_final,geracao_melhor_global,tempo_total_execucao,n_formigas,n_geracoes,alfa,beta,taxa_evaporacao
1,133,2,54.26755952835083,50,150,0.7558634954319525,4.707752498799165,0.1602013342115643
2,133,3,16.965002059936523,15,150,1.6310596998296174,4.383497437114556,0.45148080546718045
3,131,14,11.45988154411316,10,150,1.4266895174286556,1.1589133974089179,0.09216285793771661
4,131,16,17.12924313545227,15,150,1.3074974033447073,1.1326798484193181,0.1394769428089918
5,133,5,56.41898822784424,50,150,1.58185496302633,3.097599104808294,0.25214407082773416
6,127,6,22.146193981170654,20,150,1.7332026393489572,1.032493798390305,0.41261866332476355
7,133,6,58.024413108825684,50,150,1.1916601574149035,2.3893567083582092,0.14689119294841496
8,133,10,23.009952783584595,20,150,0.7430943871277882,2.899636503186687,0.21154072121808282
9,133,4,23.233721017837524,20,150,1.4452164439136475,5.035641366371901,0.37837930401221803
10,133,1,47.76988220214844,40,150,0.7747566279944931,5.611476860140799,0.08546008913530617
