codigo_disciplina,disciplina,tipo
EST0064,ANALISE DE DADOS CATEGORIZADOS,Ajustado
EST0038,ANALISE DE REGRESSAO LINEAR,Ajustado
EST0051,ANALISE DE SERIES TEMPORAIS,Ajustado
EST1000,ANALISE DE SERIES TEMPORAIS 2,Original
EST0086,ANALISE DE SOBREVIVENCIA,Ajustado
EST0999,ANALISE MULTIVARIADA 1,Original
EST0998,ANALISE MULTIVARIADA 2,Original
EST0027,BIOESTATISTICA,Ajustado
EST0001,COMPUTACAO EM ESTATISTICA 1,Ajustado
EST0997,COMPUTACAO EM ESTATISTICA 2 - PYTHON,Original
EST0996,COMPUTACAO EM ESTATISTICA 2 - R,Original
EST0995,COMPUTACAO EM ESTATISTICA 2 - SAS,Original
EST0092,COMPUTACAO EM ESTATISTICA 2: PYTHON,Ajustado
EST0091,COMPUTACAO EM ESTATISTICA 2: R,Ajustado
EST0994,CONSULTORIA,Original
EST0993,CONTROLE ESTATISTICO DE QUALIDADE,Original
EST0042,DELINEAMENTO E ANALISE DE EXPERIMENTOS,Ajustado
EST0992,DELINEAMENTO E ANALISE DE EXPERIMENTOS 1,Original
EST0991,DELINEAMENTO E ANALISE DE EXPERIMENTOS 2,Original
EST0046,DEMOGRAFIA,Ajustado
EST0990,DEMOGRAFIA 2,Original
EST0019,ESTATISTICA APLICADA,Ajustado
EST0004,ESTATISTICA COMPUTACIONAL,Ajustado
EST0989,ESTATISTICA ESPACIAL,Original
EST0033,ESTATISTICA EXPLORATORIA,Ajustado
EST0988,HISTORIA DA ESTATISTICA,Original
EST0005,INFERENCIA BAYESIANA,Ajustado
EST0035,INFERENCIA ESTATISTICA,Ajustado
EST0069,INTRODUCAO A PROBABILIDADE,Ajustado
EST0124,LABORATORIO DE ESTATISTICA 1,Ajustado
EST0986,LABORATORIO DE ESTATISTICA 2,Original
EST0985,MEDIDAS DE INFORMACAO E APLICACOES,Original
EST0984,METODOS APLICADOS,Original
EST0070,METODOS ESTATISTICOS 1,Ajustado
EST0017,METODOS ESTATISTICOS 2,Ajustado
EST0983,MODELOS LINEARES,Original
EST0011,MODELOS LINEARES GENERALIZADOS,Ajustado
EST0982,PESQUISA OPERACIONAL 1,Original
EST0981,PESQUISA OPERACIONAL 2,Original
EST0980,PRATICAS DE EXTENSAO EM ESTATISTICA 1,Original
EST0088,PRATICAS DE EXTENSAO EM ESTATISTICA 2,Ajustado
EST0023,PROBABILIDADE E ESTATISTICA,Ajustado
EST0979,PROBABILIDADE E ESTATISTICA 2,Original
EST0048,PROCESSOS ESTOCASTICOS,Ajustado
EST0978,PROGRAMAS-PRODUTO EM ESTATISTICA,Original
EST0036,TECNICAS DE AMOSTRAGEM,Ajustado
EST0977,TECNICAS DE AMOSTRAGEM 2,Original
EST0976,TEORIA DE RESPOSTA AO ITEM,Original
EST0975,TOPICOS EM ESTATISTICA 1 OU 2,Original
